segment_id,osm_id,node_u,node_v,name,road_type,length,has_geometry
1221729713_174778805_2063026231,1221729713,174778805,2063026231,Bridges Road,primary,77.411,True
1293396903_174778805_11265816234,1293396903,174778805,11265816234,Bridges Road,primary,16.466,True
329227971_174778805_3360641419,329227971,174778805,3360641419,Burke Street,residential,17.756,True
255164744_174778835_1843667444,255164744,174778835,1843667444,Bridges Road,primary,279.447,True
446614031_174778835_1843667476,446614031,174778835,1843667476,Saint James Road,secondary,92.84899999999999,True
569034005_174778835_2608920684,569034005,174778835,2608920684,Bridges Road,primary,82.878,True
"[688568545, 655889606]_174778835_1843667451","[688568545, 655889606]",174778835,1843667451,Saint James Road,secondary,182.298,True
573325161_174778835_285923886,573325161,174778835,285923886,Bridges Road,primary,79.02000000000001,True
415483038_174778963_1453639332,415483038,174778963,1453639332,Kullaiba Road,unclassified,11.423,True
415483035_174778963_1926352191,415483035,174778963,1926352191,Northcott Drive,primary,105.732,True
731235026_174778963_1453639318,731235026,174778963,1453639318,Northcott Drive,primary,8.162,True
26056155_174778963_2658893207,26056155,174778963,2658893207,Kullaiba Road,unclassified,161.101,True
410253247_174779068_1436939673,410253247,174779068,1436939673,Glebe Road,secondary,111.844,True
174082015_174779068_355013052,174082015,174779068,355013052,Date Street,residential,203.076,True
174082015_174779068_285732077,174082015,174779068,285732077,Date Street,residential,117.323,True
410253247_174779068_272224405,410253247,174779068,272224405,Glebe Road,secondary,109.518,True
573325152_174794320_337354143,573325152,174794320,337354143,Lambton Road,primary,32.102,True
688558168_174794320_337354167,688558168,174794320,337354167,Brown Road,unclassified,121.788,True
255022918_176399672_903719287,255022918,176399672,903719287,Noel Avenue,residential,10.462,True
"[580178241, 132079389]_176399672_903719325","[580178241, 132079389]",176399672,903719325,Park Avenue,secondary,73.10300000000001,True
255022918_176399672_418606411,255022918,176399672,418606411,Noel Avenue,residential,51.966,True
"[530744666, 918532435]_176399672_246011243","[530744666, 918532435]",176399672,246011243,Park Avenue,secondary,38.328,True
200856336_176399696_8562026835,200856336,176399696,8562026835,Brisbane Water Road,residential,23.944000000000003,True
"[530744664, 530744665, 918532438]_176399696_246011243","[530744664, 530744665, 918532438]",176399696,246011243,Park Avenue,secondary,122.697,True
580178234_176399696_8528284074,580178234,176399696,8528284074,Park Avenue,secondary,35.988,True
918532442_176399696_8530772748,918532442,176399696,8530772748,Park Avenue,secondary,46.337999999999994,True
254775210_176399746_419517731,254775210,176399746,419517731,Fletcher Street,residential,28.285999999999998,True
"[415483008, 919009095]_176399746_8534733867","[415483008, 919009095]",176399746,8534733867,Park Avenue,secondary,375.61500000000007,True
"[918257319, 918532443, 918562735]_176399746_8530772748","[918257319, 918532443, 918562735]",176399746,8530772748,Park Avenue,secondary,122.92599999999999,True
"[918532444, 918532439, 580178231]_176399746_903719290","[918532444, 918532439, 580178231]",176399746,903719290,Park Avenue,secondary,76.491,True
173175124_285732058_285732212,173175124,285732058,285732212,Fletcher Street,residential,84.388,True
130457256_176399846_1843667522,130457256,176399846,1843667522,Park Avenue,secondary,150.052,True
130457258_176399846_285732092,130457258,176399846,285732092,Park Avenue,secondary,75.241,True
130457261_176399846_285732089,130457261,176399846,285732089,Victoria Street,residential,37.144999999999996,True
573325146_246010907_1839861538,573325146,246010907,1839861538,Young Road,tertiary_link,13.139,True
"[573325147, 688597060, 782048683]_246010907_1843582800","[573325147, 688597060, 782048683]",246010907,1843582800,Turton Road,primary,266.307,True
822222312_246010907_285923275,822222312,246010907,285923275,Young Road,tertiary,131.569,True
"[784818801, 750977444, 750977445, 750977446]_246010907_1839861547","[784818801, 750977444, 750977445, 750977446]",246010907,1839861547,Turton Road,primary,233.328,True
"[918532436, 918532437]_246011243_903719287","[918532436, 918532437]",246011243,903719287,Park Avenue,secondary,37.501999999999995,True
36093938_249343640_2659075988,36093938,249343640,2659075988,Lexington Parade,secondary,9.919,True
"[418259558, 332229918]_249343640_284966533","[418259558, 332229918]",249343640,284966533,Park Avenue,secondary,145.996,True
457819681_249343640_2833593903,457819681,249343640,2833593903,Lexington Parade,secondary,57.705,True
"[1376958404, 1376958405, 419698285]_249343640_903719337","[1376958404, 1376958405, 419698285]",249343640,903719337,Park Avenue,secondary,300.942,True
570218656_249344236_2678502916,570218656,249344236,2678502916,Russell Road,primary,25.651,True
791465727_249344236_2678502918,791465727,249344236,2678502918,Lookout Road,trunk,19.984,True
200701578_272221403_272223115,200701578,272221403,272223115,Lockyer Street,residential,339.146,True
675793851_272221403_272225716,675793851,272221403,272225716,Brunker Road,secondary,163.844,True
"[675793851, 173159988]_272221403_285907336","[675793851, 173159988]",272221403,285907336,Brunker Road,secondary,254.483,True
200526840_272223115_272223174,200526840,272223115,272223174,Bryant Street,residential,68.404,True
200526840_272223115_1848248256,200526840,272223115,1848248256,Bryant Street,residential,161.68800000000002,True
"[34109880, 34109882, 200526840, 34109879]_272223174_272223174","[34109880, 34109882, 200526840, 34109879]",272223174,272223174,"['Drew Street', 'Hope Street', 'Richard Street', 'Bryant Street']",residential,475.1859999999999,True
"[200526840, 34109882, 34109880, 34109879]_272223174_272223174","[200526840, 34109882, 34109880, 34109879]",272223174,272223174,"['Drew Street', 'Bryant Street', 'Richard Street', 'Hope Street']",residential,475.186,True
446614997_272223869_272225486,446614997,272223869,272225486,Glebe Road,secondary,110.892,True
446614997_272223869_1839861628,446614997,272223869,1839861628,Glebe Road,secondary,110.867,True
25027095_272223869_2474738239,25027095,272223869,2474738239,Belmore Street,residential,116.62299999999999,True
61405537_272224402_286119551,61405537,272224402,286119551,Brunker Road,secondary,31.366,True
61405537_272224402_286119794,61405537,272224402,286119794,Brunker Road,secondary,128.815,True
173160027_272224402_286119087,173160027,272224402,286119087,Mandalong Road,residential,52.725,True
61405537_272224404_286119437,61405537,272224404,286119437,Brunker Road,secondary,94.111,True
25027989_272224404_769203760,25027989,272224404,769203760,Olney Road,residential,107.80699999999999,True
61405537_272224404_286119551,61405537,272224404,286119551,Brunker Road,secondary,267.45799999999997,True
417741680_272224405_285732088,417741680,272224405,285732088,Glebe Road,secondary,116.994,True
675793851_272224405_272225716,675793851,272224405,272225716,Brunker Road,secondary,117.44,True
"[61405537, 1211512458]_272224405_286119437","[61405537, 1211512458]",272224405,286119437,Brunker Road,secondary,101.453,True
712131971_272225716_285732077,712131971,272225716,285732077,Victoria Street,residential,111.234,True
"[1319583434, 712131970]_272225716_285732087","[1319583434, 712131970]",272225716,285732087,Victoria Street,residential,116.44699999999999,True
235918157_276839788_276839791,235918157,276839788,276839791,Birdwood Street,residential,55.31,True
173175033_276839788_1840020259,173175033,276839788,1840020259,Freeman Street,residential,80.47999999999999,True
235918157_276839788_276839790,235918157,276839788,276839790,Birdwood Street,residential,77.937,True
235918157_276839789_276839790,235918157,276839789,276839790,Birdwood Street,residential,12.383,True
"[173175138, 688597077]_276839789_7095701989","[173175138, 688597077]",276839789,7095701989,Carnley Avenue,secondary,216.674,True
235918157_276839789_285923927,235918157,276839789,285923927,Birdwood Street,residential,93.723,True
"[173175138, 1221729708]_276839789_8975857811","[173175138, 1221729708]",276839789,8975857811,Carnley Avenue,secondary,260.818,True
"[969953696, 173175109]_276839790_2643520648","[969953696, 173175109]",276839790,2643520648,Carnley Avenue,secondary,283.25100000000003,True
969953695_276839790_2676461913,969953695,276839790,2676461913,Carnley Avenue,secondary,216.74200000000002,True
173175000_276839791_12446969783,173175000,276839791,12446969783,Ann Parade,residential,291.65099999999995,True
"[244673314, 235918157]_276839791_1840020279","[244673314, 235918157]",276839791,1840020279,"['Allan Street', 'Birdwood Street']",residential,229.35299999999998,True
415483043_276839881_6144518511,415483043,276839881,6144518511,Orchardtown Road,residential,50.321,True
173174963_276839881_1840020292,173174963,276839881,1840020292,Orchardtown Road,residential,83.096,True
173175099_276839881_1840020291,173175099,276839881,1840020291,Meredith Street,residential,220.058,True
415483043_276839882_6144518497,415483043,276839882,6144518497,Orchardtown Road,residential,72.727,True
415483043_276839882_6144518511,415483043,276839882,6144518511,Orchardtown Road,residential,8.837,True
173175081_276839882_1840020279,173175081,276839882,1840020279,Woodlands Avenue,residential,175.112,True
173175083_276839898_1840020257,173175083,276839898,1840020257,Aldyth Street,residential,55.12,True
655868219_276839898_1840020266,655868219,276839898,1840020266,Fay Avenue,residential,57.468,True
173175083_276839898_1840020278,173175083,276839898,1840020278,Aldyth Street,residential,153.756,True
655868219_276839898_6144518497,655868219,276839898,6144518497,Fay Avenue,residential,208.55200000000002,True
418259545_284966224_286118933,418259545,284966224,286118933,Saint James Road,secondary,53.368,True
418259546_284966224_286119052,418259546,284966224,286119052,Saint James Road,secondary,46.923,True
"[418259547, 611263085]_284966224_1843667521","[418259547, 611263085]",284966224,1843667521,Fairfield Avenue,residential,319.246,True
1299638355_284966533_12038672019,1299638355,284966533,12038672019,Park Avenue,secondary,7.304,True
173175155_284966533_903719322,173175155,284966533,903719322,Kullaiba Road,unclassified,5.814,True
173175119_285732058_285732216,173175119,285732058,285732216,Wood Street,residential,107.47,True
173175124_285732058_285732114,173175124,285732058,285732114,Fletcher Street,residential,301.93100000000004,True
170206421_285732060_285732233,170206421,285732060,285732233,Bourke Street,residential,115.87599999999999,True
200537746_285732060_285732232,200537746,285732060,285732232,Fourth Street,residential,172.03099999999998,True
200537746_285732060_285732230,200537746,285732060,285732230,Fourth Street,residential,128.83800000000002,True
308838681_285732076_2108084122,308838681,285732076,2108084122,Teralba Road,residential,105.468,True
410253246_285732076_1436939673,410253246,285732076,1436939673,Teralba Road,residential,117.52300000000001,True
712131971_285732076_285732077,712131971,285732076,285732077,Victoria Street,residential,111.32400000000001,True
1319960202_285732076_1436939676,1319960202,285732076,1436939676,Victoria Street,residential,60.358000000000004,True
174082015_285732077_285732235,174082015,285732077,285732235,Date Street,residential,166.127,True
173159992_285732078_285732079,173159992,285732078,285732079,Buxton Street,residential,103.082,True
201078200_285732079_2474738239,201078200,285732079,2474738239,Victoria Street,residential,111.41,True
201078200_285732079_1848248256,201078200,285732079,1848248256,Victoria Street,residential,110.515,True
173159992_285732079_1839861628,173159992,285732079,1839861628,Buxton Street,residential,115.949,True
446614997_285732082_4572931369,446614997,285732082,4572931369,Glebe Road,secondary,73.428,True
417741680_285732082_5494239660,417741680,285732082,5494239660,Glebe Road,secondary,108.30499999999999,True
"[611263034, 25027079]_285732082_286119016","[611263034, 25027079]",285732082,286119016,Bryant Street,residential,259.53400000000005,True
701137485_285732082_1848248256,701137485,285732082,1848248256,Bryant Street,residential,116.56099999999999,True
173160004_285732083_285732084,173160004,285732083,285732084,Morgan Street,residential,105.226,True
201078200_285732084_1848248256,201078200,285732084,1848248256,Victoria Street,residential,111.155,True
201078200_285732084_390998555,201078200,285732084,390998555,Victoria Street,residential,55.119,True
173160004_285732084_285732085,173160004,285732084,285732085,Morgan Street,residential,115.962,True
417741680_285732085_5494239660,417741680,285732085,5494239660,Glebe Road,secondary,3.403,True
417741680_285732085_285732088,417741680,285732085,285732088,Glebe Road,secondary,111.04599999999999,True
173159987_285732087_1848248257,173159987,285732087,1848248257,Gosford Road,residential,105.064,True
201078200_285732087_390998555,201078200,285732087,390998555,Victoria Street,residential,55.928,True
173159987_285732087_285732088,173159987,285732087,285732088,Gosford Road,residential,116.28099999999999,True
173159987_285732088_1839861619,173159987,285732088,1839861619,Gosford Road,residential,103.94200000000001,True
130457261_285732089_1436939674,130457261,285732089,1436939674,Victoria Street,residential,118.62899999999999,True
173175088_285732089_1840020268,173175088,285732089,1840020268,Sixth Street,residential,142.82,True
130457258_285732092_8386558650,130457258,285732092,8386558650,Park Avenue,secondary,133.014,True
173175057_285732092_285732244,173175057,285732092,285732244,Edden Street,residential,83.445,True
173175014_285732107_285732205,173175014,285732107,285732205,Powell Street,residential,158.173,True
173175053_285732107_285732108,173175053,285732107,285732108,Brisbane Water Road,residential,121.89699999999999,True
173174977_285732108_285732207,173174977,285732108,285732207,Brown Street,residential,136.51399999999998,True
173175057_285732228_285732244,173175057,285732228,285732244,Edden Street,residential,141.421,True
173175053_285732108_285732109,173175053,285732108,285732109,Brisbane Water Road,residential,70.46100000000001,True
922290136_285732109_8562026838,922290136,285732109,8562026838,Brisbane Water Road,residential,4.925,True
"[200856337, 173175053]_285732109_285732111","[200856337, 173175053]",285732109,285732111,"['Dibbs Street', 'Brisbane Water Road']",residential,167.732,True
200856338_285732111_285732207,200856338,285732111,285732207,Bailey Street,residential,120.78800000000001,True
200856338_285732111_285732113,200856338,285732111,285732113,Bailey Street,residential,121.422,True
173175015_285732113_285732226,173175015,285732113,285732226,Bailey Street,residential,242.36,True
173175124_285732113_285732209,173175124,285732113,285732209,Fletcher Street,residential,41.114000000000004,True
173175124_285732113_1840020305,173175124,285732113,1840020305,Fletcher Street,residential,77.131,True
174082015_285732114_285732115,174082015,285732114,285732115,Date Street,residential,82.679,True
174082015_285732114_285732124,174082015,285732114,285732124,Date Street,residential,121.155,True
174082015_285732115_285732117,174082015,285732115,285732117,Date Street,residential,28.051,True
174082018_285732115_285907337,174082018,285732115,285907337,Rifle Street,residential,104.372,True
174082015_285732117_285732232,174082015,285732117,285732232,Date Street,residential,117.411,True
174082027_285732117_285732118,174082027,285732117,285732118,Wells Street,residential,241.671,True
173175074_285732124_285732127,173175074,285732124,285732127,Moira Street,residential,282.53000000000003,True
173175074_285732127_1840020316,173175074,285732127,1840020316,Moira Street,residential,158.053,True
173175124_285732129_285732212,173175124,285732129,285732212,Fletcher Street,residential,56.148,True
173175124_285732129_285732209,173175124,285732129,285732209,Fletcher Street,residential,150.734,True
200856992_285732129_1840020316,200856992,285732129,1840020316,Garden Grove Parade,residential,120.631,True
200856985_285732205_9156824351,200856985,285732205,9156824351,Bailey Street,residential,72.303,True
200856985_285732205_285732207,200856985,285732205,285732207,Bailey Street,residential,121.28399999999999,True
"[173175086, 200856335]_285732209_1840020284","[173175086, 200856335]",285732209,1840020284,"['Eighth Street', 'Ninth Street']",residential,245.476,True
173175119_285732211_285732216,173175119,285732211,285732216,Wood Street,residential,66.342,True
173175086_285732211_1840020286,173175086,285732211,1840020286,Eighth Street,residential,116.917,True
173175119_285732211_285732230,173175119,285732211,285732230,Wood Street,residential,56.449,True
173175055_285732212_285732216,173175055,285732212,285732216,Mowbray Crescent,residential,188.68499999999997,True
173175015_285732226_8386558649,173175015,285732226,8386558649,Bailey Street,residential,64.834,True
173175082_285732226_285732228,173175082,285732226,285732228,Fourth Street,residential,102.583,True
173175082_285732228_285732229,173175082,285732228,285732229,Fourth Street,residential,81.19,True
173175057_285732228_1840020284,173175057,285732228,1840020284,Edden Street,residential,57.154,True
173175082_285732229_285732230,173175082,285732229,285732230,Fourth Street,residential,117.07300000000001,True
173175088_285732229_1840020286,173175088,285732229,1840020286,Sixth Street,residential,56.206,True
173175088_285732229_1840020268,173175088,285732229,1840020268,Sixth Street,residential,142.70000000000002,True
200537745_285732230_285732248,200537745,285732230,285732248,Wood Street,residential,142.609,True
174082015_285732232_285732235,174082015,285732232,285732235,Date Street,residential,115.89699999999999,True
174082023_285732233_285732235,174082023,285732233,285732235,Jefferson Street,residential,173.329,True
"[170206420, 170206421, 1319583431]_285732233_1436939676","[170206420, 170206421, 1319583431]",285732233,1436939676,Bourke Street,residential,166.888,True
200856339_285732244_1840020268,200856339,285732244,1840020268,Third Street,residential,80.096,True
200537745_285732248_1436939674,200537745,285732248,1436939674,Wood Street,residential,142.56400000000002,True
200856339_285732248_1840020268,200856339,285732248,1840020268,Third Street,residential,116.939,True
200856339_285732248_2108084123,200856339,285732248,2108084123,Third Street,residential,48.126,True
174082030_285907000_285907006,174082030,285907000,285907006,Bullecourt Circuit,residential,32.284,True
174082030_285907000_285907338,174082030,285907000,285907338,Bullecourt Circuit,residential,38.703,True
174082017_285907006_1848248267,174082017,285907006,1848248267,Amiens Place,residential,51.501,True
26116682_285907336_285907338,26116682,285907336,285907338,,secondary,16.006,True
26116682_285907336_285907337,26116682,285907336,285907337,,secondary,13.691999999999998,True
26116682_285907337_285907350,26116682,285907337,285907350,,secondary,14.404,True
26116682_285907338_285907350,26116682,285907338,285907350,,secondary,16.561,True
256934882_285922353_420057113,256934882,285922353,420057113,Young Road,tertiary,122.571,True
32656467_285922353_285923102,32656467,285922353,285923102,Wallarah Road,residential,91.631,True
256934882_285922353_285923339,256934882,285922353,285923339,Young Road,tertiary,79.832,True
263171111_285922506_285923055,263171111,285922506,285923055,Wye Street,residential,120.749,True
"[263171115, 883006638, 654698583]_285922506_1843667280","[263171115, 883006638, 654698583]",285922506,1843667280,"['Hobart Road', 'Howe Street']",secondary,164.004,True
263171114_285922515_739711945,263171114,285922515,739711945,Hobart Road,residential,22.116,True
305981303_285922515_367128077,305981303,285922515,367128077,Tyrone Road,residential,84.168,True
573325156_285922515_285923652,573325156,285922515,285923652,Hobart Road,residential,70.681,True
32656495_285922527_367128371,32656495,285922527,367128371,Hobart Road,residential,121.57300000000001,True
170216209_285922527_4414732069,170216209,285922527,4414732069,Hobart Road,residential,112.483,True
573325154_285922527_285923171,573325154,285922527,285923171,Hobart Road,residential,17.232,True
173577835_285922879_1843667262,173577835,285922879,1843667262,Durham Road,residential,32.268,True
35932471_285922936_739712119,35932471,285922936,739712119,Lambton Road,secondary,89.317,True
173577836_285922936_285923568,173577836,285922936,285923568,Railway Road,residential,82.298,True
1301238056_285923206_337344529,1301238056,285923206,337344529,Hobart Road,residential,112.058,True
654720617_285922936_285922945,654720617,285922936,285922945,Howe Street,secondary,134.452,True
173577835_285922945_285923025,173577835,285922945,285923025,Durham Road,residential,113.686,True
185076115_285922945_1843667280,185076115,285922945,1843667280,Durham Road,secondary,30.27,True
666258147_285922945_6237659050,666258147,285922945,6237659050,Howe Street,residential,46.148,True
255022914_285922956_285922987,255022914,285922956,285922987,Rosmar Street,residential,60.86,True
263171114_285922956_739711945,263171114,285922956,739711945,Hobart Road,residential,128.53199999999998,True
883006635_285922956_1843667280,883006635,285922956,1843667280,Hobart Road,residential,76.019,True
173577835_285923025_1843667262,173577835,285923025,1843667262,Durham Road,residential,132.446,True
173577880_285923025_285923055,173577880,285923025,285923055,Church Street,residential,162.757,True
185076116_285923063_4277621979,185076116,285923063,4277621979,Durham Road,residential,3.193,True
185076116_285923063_285923102,185076116,285923063,285923102,Durham Road,residential,155.847,True
1386575351_285923063_285923339,1386575351,285923063,285923339,Orlando Road,residential,171.27200000000002,True
256934882_285923082_420057113,256934882,285923082,420057113,Young Road,tertiary,18.269,True
185076116_285923082_285923102,185076116,285923082,285923102,Durham Road,residential,121.839,True
"[822222312, 256934882]_285923082_285923307","[822222312, 256934882]",285923082,285923307,Young Road,tertiary,181.86900000000003,True
"[32656467, 822222308]_285923102_285923134","[32656467, 822222308]",285923102,285923134,Wallarah Road,residential,138.515,True
173160009_285923134_285923307,173160009,285923134,285923307,Womboin Road,residential,274.9359999999999,True
"[173160009, 822222311]_285923134_1843667295","[173160009, 822222311]",285923134,1843667295,Womboin Road,residential,181.806,True
232951491_285923134_1843667338,232951491,285923134,1843667338,Wallarah Road,residential,222.81799999999998,True
232951490_285923171_285923172,232951490,285923171,285923172,Wallarah Road,residential,106.31500000000001,True
"[788303537, 573325154]_285923171_1843667366","[788303537, 573325154]",285923171,1843667366,Hobart Road,residential,215.486,True
"[232951491, 822222310]_285923171_1843667338","[232951491, 822222310]",285923171,1843667338,Wallarah Road,residential,161.89199999999997,True
173577857_285923172_1843667393,173577857,285923172,1843667393,Thalaba Road,residential,232.008,True
173577857_285923172_1843667382,173577857,285923172,1843667382,Thalaba Road,residential,221.36899999999997,True
232951490_285923172_285923801,232951490,285923172,285923801,Wallarah Road,residential,85.644,True
173160034_285923183_285923198,173160034,285923183,285923198,Monash Road,residential,85.027,True
173160034_285923183_1843667338,173160034,285923183,1843667338,Monash Road,residential,93.14699999999999,True
173577851_285923183_367128371,173577851,285923183,367128371,Henderson Street,residential,163.072,True
173160034_285923198_285923212,173160034,285923198,285923212,Monash Road,residential,81.88,True
173577893_285923198_367128370,173577893,285923198,367128370,Hitchcock Avenue,residential,196.287,True
173160018_285923206_367128369,173160018,285923206,367128369,Marina Avenue,residential,13.596,True
1301238056_285923206_285923805,1301238056,285923206,285923805,Hobart Road,residential,60.691,True
173160018_285923212_285923230,173160018,285923212,285923230,Marina Avenue,residential,80.884,True
173160034_285923212_285923227,173160034,285923212,285923227,Monash Road,residential,119.03899999999999,True
173160018_285923216_285923230,173160018,285923216,285923230,Marina Avenue,residential,76.958,True
173160006_285923216_285923224,173160006,285923216,285923224,Rex Avenue,residential,120.10499999999999,True
173160018_285923216_367128369,173160018,285923216,367128369,Marina Avenue,residential,76.40299999999999,True
173160012_285923224_285923234,173160012,285923224,285923234,Gloucester Avenue,residential,74.154,True
173160006_285923224_1839861553,173160006,285923224,1839861553,Rex Avenue,residential,83.077,True
173160012_285923227_285923234,173160012,285923227,285923234,Gloucester Avenue,residential,80.433,True
"[173160034, 822222309]_285923227_1839861547","[173160034, 822222309]",285923227,1839861547,Monash Road,residential,93.038,True
173159995_285923230_285923234,173159995,285923230,285923234,Duke Street,residential,119.952,True
173160010_285923275_11198500742,173160010,285923275,11198500742,Central Street,residential,131.29500000000002,True
822222312_285923275_285923307,822222312,285923275,285923307,Young Road,tertiary,120.19,True
174080911_285923501_1843667400,174080911,285923501,1843667400,Carrington Parade,residential,96.83200000000002,True
